candidate,mode,alpha,illumination_threshold,selected,accepted,score,active_fraction,mean_alpha,mae_improvement_pct,rmse_improvement_pct,edge_mae_improvement_pct,mae_ms,rmse_ms,edge_mae
soft_alpha0.75_thr0.3,soft,0.75,0.3,False,False,0.3896597290841042,0.49108567018266014,0.11300664332878224,0.3321882285606772,0.05747150052342699,-0.2330376191577813,131.2546424730649,285.0755400312278,37.36245513436542
soft_alpha0.75_thr0.4,soft,0.75,0.4,False,False,0.33351194633158754,0.35495883714947263,0.07918435520327412,0.28540692101221665,0.048105025319370893,-0.07827799302442177,131.31624976319762,285.10225691559197,37.304767572206636
soft_alpha0.75_thr0.5,soft,0.75,0.5,False,False,0.2306711214519281,0.25322227939284797,0.04978936315663142,0.1986924510753244,0.031978670376603714,-0.025439960530261655,131.43044587673234,285.14825564519253,37.2850718843841
soft_alpha0.75_thr0.6,soft,0.75,0.6,False,False,0.1177525431400055,0.14967198353485978,0.023976209437773458,0.10254549650339675,0.015207046636608743,-0.016914612673678157,131.55706382813426,285.19609493609966,37.28189401075718
soft_alpha0.75_thr0.7,soft,0.75,0.7,False,False,0.025741239254056907,0.05537046565474659,0.0053166499330467645,0.023271048060472962,0.002470191193583943,-0.02992558327916367,131.66146202051644,285.23242547524285,37.28674392668359
soft_alpha0.75_thr0.8,soft,0.75,0.8,False,False,0.002642340084124182,0.000996912786210445,0.0002562069767740468,0.0026230643217732457,1.9275762350936415e-05,-0.015937806262219096,131.6886537855933,285.23941645346423,37.28152990041402
soft_alpha1_thr0,soft,1.0,0.0,False,False,0.5054650161111977,0.9826086956521739,0.3631726448327854,0.4331006371318289,0.0723643789793688,-1.288570280103006,131.12174879482828,285.0330596634385,37.75591115070674
soft_alpha1_thr0.001,soft,1.0,0.001,False,False,0.5054557568214559,0.9826086956521739,0.36255258872585905,0.4330832732571748,0.0723724835642812,-1.2866660308200135,131.12177166168087,285.03303654596334,37.75520133057068
soft_alpha1_thr0.005,soft,1.0,0.005,False,False,0.5054159484605727,0.9826086956521739,0.3600599008588185,0.43301179165491693,0.07240415680565573,-1.2790184943018623,131.12186579730982,285.03294620137706,37.75235066629037
soft_alpha1_thr0.01,soft,1.0,0.01,False,False,0.5053623249557564,0.9826086956521739,0.3569157150265289,0.4329202907459727,0.07244203420978373,-1.2693890558855991,131.1219862967858,285.03283816006973,37.74876123640435
soft_alpha1_thr0.02,soft,1.0,0.02,False,False,0.5052388367943597,0.9826086956521739,0.35053109277524674,0.4327270077964359,0.07251182899792376,-1.249919067849973,131.12224083517674,285.03263907778495,37.74150368368793
soft_alpha1_thr0.05,soft,1.0,0.05,False,False,0.5046127409160637,0.9826086956521739,0.3305707474212385,0.4319442495546933,0.07266849136137041,-1.1895456443663164,131.12327166600704,285.0321922148875,37.71899913449142
soft_alpha1_thr0.1,soft,1.0,0.1,False,False,0.5027261669175427,0.9826086956521739,0.29434641696396446,0.4300115388550973,0.07271462806244534,-1.0818201453725074,131.12581689347186,285.03206061480523,37.67884382024986
soft_alpha1_thr0.2,soft,1.0,0.2,False,False,0.49200677353776195,0.8636094674556213,0.2109117866529726,0.4204134548590312,0.07159331867873076,-0.8355834428949456,131.1384568126287,285.0352590317645,37.58705763909362
soft_alpha1_thr0.3,soft,1.0,0.3,False,False,0.46381501359748833,0.49108567018266014,0.1506755244383763,0.3961976714617661,0.06761734213572221,-0.5520195979005323,131.17034708829064,285.0466000862402,37.48135754571137
soft_alpha1_thr0.4,soft,1.0,0.4,False,False,0.40452868177890733,0.35495883714947263,0.10557914027103214,0.3462598770406563,0.05826880473825105,-0.26545721188687943,131.23611122252956,285.0732658048997,37.37453972850311
soft_alpha1_thr0.5,soft,1.0,0.5,False,False,0.2814368780757913,0.25322227939284797,0.06638581754217522,0.24199863784520725,0.039438240230584065,-0.12078469882842084,131.37341504641384,285.1269780075697,37.32061219715501
soft_alpha1_thr0.6,soft,1.0,0.6,False,False,0.14350110549969558,0.14967198353485978,0.03196827925036461,0.1244378562938441,0.019063249205851476,-0.05718967163897575,131.5282333180015,285.18509552427366,37.29690677620226
soft_alpha1_thr0.7,soft,1.0,0.7,False,False,0.029524940832903634,0.05537046565474659,0.007088866577395689,0.026446898366864,0.0030780424660396344,-0.049846585348780496,131.65727967629613,285.2306916434862,37.2941695975376
soft_alpha1_thr0.8,soft,1.0,0.8,False,False,0.0010795036796039182,0.000996912786210445,0.0003416093023653958,0.0010833597792788492,-3.85609967493104e-06,-0.02377568212325174,131.69068145496465,285.2394824346652,37.28445151480547
sqrt_alpha0.05_thr0,sqrt,0.05,0.0,False,True,0.12260486394761794,0.9826086956521739,0.029071554910194246,0.04694493267505987,0.008890666876195595,0.03338463219818123,131.63028538278547,285.2141117443421,37.26314467097404
sqrt_alpha0.05_thr0.001,sqrt,0.05,0.001,False,True,0.12259062691785776,0.9826086956521739,0.029042300981018072,0.046931081505440175,0.008887830528240635,0.033385857442088475,131.63030362368275,285.21411983472603,37.26314421425716
sqrt_alpha0.05_thr0.005,sqrt,0.05,0.005,False,True,0.12253328134090531,0.9826086956521739,0.02892425988177686,0.04687532286718228,0.00887641612251552,0.03339077117560375,131.63037705340895,285.2141523931166,37.26314238263405
sqrt_alpha0.05_thr0.01,sqrt,0.05,0.01,False,True,0.1224608214564391,0.9826086956521739,0.028774350119977338,0.0468048759857881,0.00886199086627079,0.03339697730219011,131.6304698263922,285.21419353964126,37.26314006926381
sqrt_alpha0.05_thr0.02,sqrt,0.05,0.02,False,True,0.12231300952720871,0.9826086956521739,0.028466325793762032,0.046661362237941414,0.008832603393956962,0.03340952194765517,131.63065882267222,285.21427736431195,37.26313539317333
sqrt_alpha0.05_thr0.05,sqrt,0.05,0.05,False,True,0.12183406611689987,0.9826086956521739,0.027469061522187564,0.046208129957715297,0.008739886173237803,0.033443024992973386,131.63125569381688,285.21454183042226,37.26312290471586
sqrt_alpha0.05_thr0.1,sqrt,0.05,0.1,False,True,0.12087847635056292,0.9826086956521739,0.0254917834940691,0.04536354599062812,0.008568197161635203,0.0334733665991498,131.63236794424827,285.21503155525147,37.263111594703446
sqrt_alpha0.05_thr0.2,sqrt,0.05,0.2,False,True,0.11831368992968824,0.8636094674556213,0.018813223502957787,0.043229571927358,0.008140394379438438,0.0334718618114459,131.63517821967966,285.2162518176462,37.263112155621926
sqrt_alpha0.05_thr0.3,sqrt,0.05,0.3,False,True,0.11399273772250407,0.49108567018266014,0.012675801796332943,0.040129356531507634,0.007535678191850327,0.03316385149957305,131.63926095869178,285.21797670690336,37.263226968279824
sqrt_alpha0.05_thr0.4,sqrt,0.05,0.4,False,True,0.10708624504615691,0.35495883714947263,0.009089294497785243,0.036204555472383146,0.006610803514454078,0.032135443029659844,131.6444296119474,285.2206148145446,37.2636103135942
sqrt_alpha0.05_thr0.5,sqrt,0.05,0.5,False,True,0.08098056837498845,0.25322227939284797,0.006107972037119817,0.027613273300513597,0.004788661975760893,0.02428931654935698,131.65574365255702,285.2258122814384,37.266535003452574
sqrt_alpha0.05_thr0.6,sqrt,0.05,0.6,False,True,0.04557537047524303,0.14967198353485978,0.0032700295424754485,0.0164488269023472,0.0026100132232098473,0.013258265174842989,131.67044634738252,285.2320266476246,37.27064689282413
sqrt_alpha0.05_thr0.7,sqrt,0.05,0.7,False,True,0.009579456560392269,0.05537046565474659,0.0009084979154803173,0.004573677113650365,0.0005033452612768567,0.0022512170927325237,131.68608498248574,285.2380356961841,37.27474983482707
sqrt_alpha0.05_thr0.8,sqrt,0.05,0.8,False,False,0.0006667631870202421,0.000996912786210445,2.6691238476071754e-05,0.0006599955680743329,6.7676189459091245e-06,-3.4049865620767955e-05,131.69123899221955,285.23945213162636,37.27560168154577
sqrt_alpha0.1_thr0,sqrt,0.1,0.0,False,True,0.19763681536904534,0.9826086956521739,0.05814310982038849,0.09250874415631272,0.017173886157259646,0.04397709252773649,131.57028143889036,285.19048473344697,37.25919626899775
sqrt_alpha0.1_thr0.001,sqrt,0.1,0.001,False,True,0.19765344634181486,0.9826086956521739,0.058084601962036145,0.0924821241018959,0.017168691398030355,0.04400131542094431,131.57031649540122,285.19049955095073,37.259187239771634
sqrt_alpha0.1_thr0.005,sqrt,0.1,0.005,False,True,0.1977200623041226,0.9826086956521739,0.05784851976355372,0.09237500198170435,0.01714778393912888,0.04409863819164468,131.5704575667796,285.190559187276,37.259150962135635
sqrt_alpha0.1_thr0.01,sqrt,0.1,0.01,False,True,0.19780354485390494,0.9826086956521739,0.057548700239954675,0.0922395748397854,0.017121356948838696,0.04422130653264043,131.5706359136378,285.1906345674834,37.259105236789026
sqrt_alpha0.1_thr0.02,sqrt,0.1,0.02,False,True,0.19797177480937128,0.9826086956521739,0.056932651587524065,0.09196382791922117,0.017067503231042794,0.044470221829553666,131.57099905057066,285.1907881795434,37.25901245214602
sqrt_alpha0.1_thr0.05,sqrt,0.1,0.05,False,True,0.19848330948391657,0.9826086956521739,0.05493812304437513,0.09109510037136799,0.016897454036818735,0.045245377537864916,131.57214309619255,285.1912732269662,37.25872350829016
sqrt_alpha0.1_thr0.1,sqrt,0.1,0.1,False,True,0.1993271623267419,0.9826086956521739,0.0509835669881382,0.08948963711646979,0.016581997138767,0.046627764035752556,131.57425736459857,285.1921730345548,37.258208215580964
sqrt_alpha0.1_thr0.2,sqrt,0.1,0.2,False,True,0.20102878721386852,0.8636094674556213,0.037626447005915574,0.08551136282995415,0.01579270280049737,0.049862360791708506,131.57949643787464,285.19442441355335,37.257002500588754
sqrt_alpha0.1_thr0.3,sqrt,0.1,0.3,False,True,0.2007776045843398,0.49108567018266014,0.025351603592665885,0.07961300590405394,0.014668001596197149,0.05324829854204436,131.58726410845682,285.1976325053237,37.25574037234951
sqrt_alpha0.1_thr0.4,sqrt,0.1,0.4,False,True,0.1974551526896463,0.35495883714947263,0.018178588995570486,0.07202886915009614,0.012928625006533698,0.05624882926650824,131.5972518180334,285.20259389391435,37.25462190684916
sqrt_alpha0.1_thr0.5,sqrt,0.1,0.5,False,True,0.15355106980722513,0.25322227939284797,0.012215944074239635,0.05504414053646503,0.009397151883333645,0.04455488869371323,131.619619365209,285.21266704918486,37.25898089207372
sqrt_alpha0.1_thr0.6,sqrt,0.1,0.6,False,True,0.08827342161142165,0.14967198353485978,0.006540059084950897,0.032812522993443775,0.005134856541384929,0.02516302103829647,131.6488966510282,285.22482479788926,37.2662093249583
sqrt_alpha0.1_thr0.7,sqrt,0.1,0.7,False,True,0.018528214247433956,0.05537046565474659,0.0018169958309606346,0.009135871247366763,0.0009906620748208932,0.00420084046262315,131.68007693285296,285.23664567628094,37.27402310123287
sqrt_alpha0.1_thr0.8,sqrt,0.1,0.8,False,False,0.0013301010046505505,0.000996912786210445,5.338247695214351e-05,0.0013160974991567808,1.4003505493769818e-05,-0.00015720511183330103,131.69037495775487,285.2394314920218,37.27564758838917
sqrt_alpha0.15_thr0,sqrt,0.15,0.0,False,True,0.20903110846920142,0.9826086956521739,0.08721466473058267,0.13698900058652827,0.02484778378792704,0.02359716204737306,131.51170445148497,285.16859574840674,37.266793008119905
sqrt_alpha0.15_thr0.001,sqrt,0.15,0.001,False,True,0.20914038541050356,0.9826086956521739,0.08712690294305421,0.13695047152007678,0.02484070871598176,0.023674602587222503,131.51175519122484,285.16861592930456,37.26676414170256
sqrt_alpha0.15_thr0.005,sqrt,0.15,0.005,False,True,0.20958028068751805,0.9826086956521739,0.08677277964533056,0.13679544728233903,0.024812230206733493,0.023986301599222777,131.51195934591166,285.1686971612538,37.26664795405996
sqrt_alpha0.15_thr0.01,sqrt,0.15,0.01,False,True,0.210136344632722,0.9826086956521739,0.086323050359932,0.13659958473316164,0.024776225823830218,0.024380267037865073,131.51221728143176,285.1687998599653,37.266501101122294
sqrt_alpha0.15_thr0.02,sqrt,0.15,0.02,False,True,0.21126937498978648,0.9826086956521739,0.0853989773812861,0.136200300732498,0.02470282874723323,0.02518312275502763,131.51274310694976,285.16900921739864,37.26620183192499
sqrt_alpha0.15_thr0.05,sqrt,0.15,0.05,False,True,0.21484202723311663,0.9826086956521739,0.08240718456656268,0.1349414152579574,0.024470837984246038,0.027714886995456593,131.51440095977043,285.16967094662476,37.26525810189255
sqrt_alpha0.15_thr0.1,sqrt,0.15,0.1,False,True,0.2213725717494171,0.9826086956521739,0.07647535048220729,0.1326108346626192,0.02403954355928099,0.032361096763758465,131.51747015048866,285.17090116856286,37.26352619983574
